Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
10,90,11,4.5,1.297975055,0.676750022,1.814695358,0.357243078,0.207354959,1,0.001706866,0.002477101
10,90,11,4.5,1.568740594,0.139881132,0.510632968,0.335397047,0.326312574,1,0.001706866,0.002477101
10,90,11,4.5,5.856287499,0.532136377,1.710558854,0.442099779,0.139628139,1,0.001706866,0.002477101
10,90,11,4.5,1.563817204,0.156732533,0.22299062,0.197759367,0.139139305,1,0.001706866,0.002477101
10,90,11,4.5,0.08521394,0.243652021,6,0.243837489,0.187565023,1,0.001706866,0.002477101
2,90,11,5.5,2.665716742,3.31E-26,6,0.599153302,0.637926235,1,0.004546835,0.00697136
2,90,11,5.5,1.571040785,1.79E-33,0.227371545,0.19214704,0.04291555,1,0.004546835,0.00697136
2,90,11,5.5,4.861873816,6.55E-32,0.849698706,0.230581821,0.104452457,1,0.004546835,0.00697136
2,90,11,5.5,1.533174116,1.21E-28,0.661420489,0.287516229,0.143563197,1,0.004546835,0.00697136
2,90,11,5.5,3.06E-27,0.048899988,6,0.08017265,0.071142561,1,0.004546835,0.00697136
3,90,11,2.5,2.349651679,0.009399899,6,0.593218014,0.599207544,1,0.0033313,0.005363099
3,90,11,2.5,1.566417479,1.63E-28,0.220021021,0.193552138,0.086230839,1,0.0033313,0.005363099
3,90,11,2.5,1.555804206,1.74E-30,0.56113285,0.294506098,0.167578975,1,0.0033313,0.005363099
3,90,11,2.5,4.918008488,0.02796166,0.895828153,0.21894336,0.088486571,1,0.0033313,0.005363099
3,90,11,2.5,8.36E-27,0.057581582,4.575367696,0.069645093,0.058496071,1,0.0033313,0.005363099
4,90,11,2.5,2.202765865,1.81E-35,6,0.578392068,0.589246236,1,0.00256521,0.003995405
4,90,11,2.5,1.565484381,0.005413815,0.208275957,0.207953814,0.120895467,1,0.00256521,0.003995405
4,90,11,2.5,1.565183195,6.34E-31,0.462949707,0.310730793,0.176167098,1,0.00256521,0.003995405
4,90,11,2.5,1.493858081,0.058630858,0.80861594,0.079758357,0.047411752,1,0.00256521,0.003995405
4,90,11,2.5,4.897608397,0.066990137,0.947338886,0.151032302,0.066279448,1,0.00256521,0.003995405
5,90,11,13.5,2.016317899,6.71E-40,6,0.584782782,0.558184987,1,0.002238303,0.003476466
5,90,11,13.5,1.529603521,0.064328545,0.685185759,0.075708052,0.041468786,1,0.002238303,0.003476466
5,90,11,13.5,1.565243749,0.042154453,0.203759618,0.192704949,0.137708844,1,0.002238303,0.003476466
5,90,11,13.5,4.940364446,0.102146073,0.953879812,0.136432563,0.049002012,1,0.002238303,0.003476466
5,90,11,13.5,1.564342932,1.30E-31,0.44479649,0.320206381,0.213635372,1,0.002238303,0.003476466
6,90,11,7.5,1.541181585,0.070415841,0.632891818,0.071813839,0.036650421,1,0.00210821,0.003307041
6,90,11,7.5,1.563621739,2.87E-38,0.448381876,0.326752447,0.231837564,1,0.00210821,0.003307041
6,90,11,7.5,4.978989762,0.125223554,0.97689855,0.129088696,0.041414886,1,0.00210821,0.003307041
6,90,11,7.5,1.942601967,0.015900274,6,0.586247364,0.539100187,1,0.00210821,0.003307041
6,90,11,7.5,1.565213774,0.055212295,0.205438663,0.189991775,0.150996941,1,0.00210821,0.003307041
7,90,11,4.5,2.589729979,0.306906412,6,0.498439214,0.432170339,1,0.001916352,0.003034224
7,90,11,4.5,1.566321581,0.093248673,0.203434513,0.180252433,0.155837595,1,0.001916352,0.003034224
7,90,11,4.5,1.564519186,0.050259821,0.427601438,0.08349997,0.042648285,1,0.001916352,0.003034224
7,90,11,4.5,1.553058865,0.07121667,0.457715937,0.324060233,0.246764991,1,0.001916352,0.003034224
7,90,11,4.5,4.807749475,0.128731558,6,0.157703839,0.12257879,1,0.001916352,0.003034224
8,90,11,10.5,4.487730135,0.148733922,6,0.181513405,0.134489158,1,0.001798878,0.002689639
8,90,11,10.5,1.554941936,0.114315417,0.473722718,0.323881041,0.26789793,1,0.001798878,0.002689639
8,90,11,10.5,1.56603375,0.11606469,0.207514754,0.180794572,0.165775722,1,0.001798878,0.002689639
8,90,11,10.5,2.295315016,0.40345479,6,0.469506555,0.388902944,1,0.001798878,0.002689639
