Turbidity,Azimuth,Elevation,Normalization,Mean X,Mean Y,Sigma X,Sigma Y,Weight,Volume,MAE,RMSE
2,90,11,5.5,1.564374616,0.113972141,0.175931743,0.143014927,0.043189132,1,0.00320344,0.004630132
2,90,11,5.5,1.388908872,3.16E-27,6,0.605654266,0.524935918,1,0.00320344,0.004630132
2,90,11,5.5,5.339501795,2.05E-37,1.581076269,0.18511636,0.09742033,1,0.00320344,0.004630132
2,90,11,5.5,1.572953563,6.74E-33,0.501721076,0.365313986,0.235103021,1,0.00320344,0.004630132
2,90,11,5.5,1.351555665,0.008375891,1.178448615,0.149457532,0.0993516,1,0.00320344,0.004630132
3,90,11,8.25,1.587446616,0.098306456,0.400578093,0.328451743,0.141077098,1,0.002685941,0.003615412
3,90,11,8.25,5.799071446,9.91E-36,6,0.4755601,0.471019225,1,0.002685941,0.003615412
3,90,11,8.25,1.559066415,0.170903938,0.142813037,0.121095823,0.01996037,1,0.002685941,0.003615412
3,90,11,8.25,1.383436138,0.067065184,0.925008625,0.530528853,0.229294775,1,0.002685941,0.003615412
3,90,11,8.25,3.661703233,0.953413724,6,0.308409772,0.138648533,1,0.002685941,0.003615412
4,90,11,4.5,1.387861594,0.191472879,0.98652815,0.499129504,0.257303077,1,0.002986185,0.00397697
4,90,11,4.5,1.585394858,0.117571756,0.397252094,0.345935253,0.131447949,1,0.002986185,0.00397697
4,90,11,4.5,1.558997544,0.179343663,0.137921878,0.130993653,0.016113142,1,0.002986185,0.00397697
4,90,11,4.5,6.283185307,0.066012644,5.999999919,0.583846002,0.505433977,1,0.002986185,0.00397697
4,90,11,4.5,2.10139835,1.002874548,5.99999958,0.274769071,0.089701855,1,0.002986185,0.00397697
5,90,11,11,6.283185307,0.094067404,2.292228789,0.621839011,0.280042131,1,0.003565822,0.004649604
5,90,11,11,1.327125596,0.173459885,1.465110972,0.5419599,0.445397208,1,0.003565822,0.004649604
5,90,11,11,0.79569551,0.981924172,5.999991818,0.281708359,0.101345453,1,0.003565822,0.004649604
5,90,11,11,1.561059392,0.174994659,0.149309145,0.148397363,0.017826544,1,0.003565822,0.004649604
5,90,11,11,1.578169628,0.135600393,0.440359991,0.38264834,0.155388665,1,0.003565822,0.004649604
6,90,11,18,1.445256659,0.075534766,3.759280447,0.546446839,0.489961174,1,0.004002141,0.005379063
6,90,11,18,1.206549698,0.925519105,4.66653684,0.33072315,0.196522698,1,0.004002141,0.005379063
6,90,11,18,6.283185307,0.123585499,0.719105783,0.691060015,0.048113868,1,0.004002141,0.005379063
6,90,11,18,1.562825118,0.157010503,0.199908278,0.198934022,0.033757013,1,0.004002141,0.005379063
6,90,11,18,1.571162049,0.18846191,0.59401439,0.424231268,0.231645248,1,0.004002141,0.005379063
2,90,14,14.25,1.573121569,9.89E-34,0.511388026,0.382869378,0.240167783,1,0.003423933,0.004977966
2,90,14,14.25,1.564076119,0.150118261,0.181591668,0.158651438,0.044699048,1,0.003423933,0.004977966
2,90,14,14.25,1.409614386,1.18E-32,6,0.60957958,0.519698584,1,0.003423933,0.004977966
2,90,14,14.25,5.365562138,4.89E-42,1.621261626,0.184930569,0.097445475,1,0.003423933,0.004977966
2,90,14,14.25,1.333983854,0.010901856,1.196838125,0.151103038,0.09798911,1,0.003423933,0.004977966
3,90,14,13.25,1.587231998,0.12891134,0.40304612,0.334681606,0.145648231,1,0.002860149,0.003825627
3,90,14,13.25,1.380810234,0.093519863,0.942024203,0.528125766,0.235974622,1,0.002860149,0.003825627
3,90,14,13.25,1.558981627,0.215053562,0.144444147,0.125465725,0.020261964,1,0.002860149,0.003825627
3,90,14,13.25,5.944171472,3.57E-46,6,0.47723995,0.461995556,1,0.002860149,0.003825627
3,90,14,13.25,3.734146989,0.958140957,6,0.30632546,0.136119626,1,0.002860149,0.003825627
4,90,14,16.75,6.283185307,0.064499494,6,0.587669512,0.499255371,1,0.003186144,0.004235511
4,90,14,16.75,1.397496415,0.213200067,0.977247554,0.49422589,0.264782206,1,0.003186144,0.004235511
4,90,14,16.75,1.558988962,0.230208934,0.13612779,0.12895065,0.015512676,1,0.003186144,0.004235511
4,90,14,16.75,2.081998118,1.004364632,6,0.273432972,0.08887586,1,0.003186144,0.004235511
4,90,14,16.75,1.585061611,0.155625398,0.391387656,0.343329154,0.131573887,1,0.003186144,0.004235511
5,90,14,12.75,1.194793594,0.919069925,4.452540551,0.33492855,0.191200491,1,0.003771489,0.00517838
5,90,14,12.75,1.56266734,0.213236602,0.201567866,0.19448835,0.039020878,1,0.003771489,0.00517838
5,90,14,12.75,6.283185307,0.309279174,0.632331983,0.68731403,0.027842075,1,0.003771489,0.00517838
5,90,14,12.75,1.200834611,0.05545359,5.975901446,0.541131705,0.48939339,1,0.003771489,0.00517838
5,90,14,12.75,1.571835147,0.2094018,0.603037295,0.41965253,0.252543167,1,0.003771489,0.00517838
6,90,14,17.25,1.571484261,0.217543113,0.60144686,0.423585822,0.238431984,1,0.004174252,0.005614326
6,90,14,17.25,1.562670643,0.21189067,0.20227306,0.200377233,0.035718462,1,0.004174252,0.005614326
6,90,14,17.25,6.283185307,0.152583042,0.701302255,0.694266471,0.045711277,1,0.004174252,0.005614326
6,90,14,17.25,1.216771173,0.920761307,4.52876095,0.332952936,0.203500819,1,0.004174252,0.005614326
